Dealer	StockNo	VIN	NewUsed	Year	Make	Model	Style	Engine	Transmission	ExtColor	IntColor	Mileage	Price	Accessories	Comments	Images
Byers Imports	082467	JF1SG63618G711822	New	2008	Subaru	Forester	2.5X...Full Time All Wheel Drive	2.5 L	5-Speed Manual	Obsidian Black Pearl	Gray	4	22657	AM/FM Stereo, CD Player, Air Conditioning, Center Arm Rest, Center Console, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Rear Window Defroster, Child-Proof Locks, Dual Air Bags, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Rear Bench Seat, Deluxe Wheel Covers	ALL WHEEL DRIVE!  BRAND NEW VEHICLE! NEVER TITLED! FULL TIME ALL WHEEL DRIVE! Forester accommodates the needs and physique of a wide range of people. It also protects them well in an accident. Passive safety features are among the best in small SUVs, and Forester has earned the highest possible ratings for crashworthiness in frontal-offset and side impact crash tests conducted by the Insurance Institute for Highway Safety (IIHS).  On top of all that, It also gets 23/28 mpg  automatic, and 22/29 mpg manual! Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1231_1.jpg, http://66.219.133.230/bi/bi-1231_2.jpg, http://66.219.133.230/bi/bi-1231_3.jpg, http://66.219.133.230/bi/bi-1231_4.jpg, http://66.219.133.230/bi/bi-1231_5.jpg, http://66.219.133.230/bi/bi-1231_6.jpg, http://66.219.133.230/bi/bi-1231_7.jpg, http://66.219.133.230/bi/bi-1231_8.jpg, http://66.219.133.230/bi/bi-1231_9.jpg
Byers Imports	082355	4S4BP61C387317799	New	2008	Subaru	Outback	LL Bean Edition	2.5L	Tiptronic	Diamond Gray	Gray	17	27606	AM/FM Stereo, CD Changer, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Navigation System, Tilt Steering Wheel, Vanity Mirrors, Roof Rack, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Anti-Lock Brakes, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Heated Front Seats, Power Drivers Seat, Power Passenger Seat, Rear Bench Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1237_1.jpg, http://66.219.133.230/bi/bi-1237_2.jpg, http://66.219.133.230/bi/bi-1237_3.jpg, http://66.219.133.230/bi/bi-1237_4.jpg, http://66.219.133.230/bi/bi-1237_5.jpg, http://66.219.133.230/bi/bi-1237_6.jpg, http://66.219.133.230/bi/bi-1237_7.jpg, http://66.219.133.230/bi/bi-1237_8.jpg, http://66.219.133.230/bi/bi-1237_9.jpg
Byers Imports	082636	4S4BP60C386325540	New	2008	Subaru	Outback	8 DA Package	2.5L	5-Speed Manual	Quatrz Silver Metallic	Black	28	22986	AM/FM Stereo, CD Player, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Heads-up Display, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Child-Proof Locks, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Rear Bench Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1238_1.jpg, http://66.219.133.230/bi/bi-1238_2.jpg, http://66.219.133.230/bi/bi-1238_3.jpg, http://66.219.133.230/bi/bi-1238_4.jpg, http://66.219.133.230/bi/bi-1238_5.jpg, http://66.219.133.230/bi/bi-1238_6.jpg, http://66.219.133.230/bi/bi-1238_7.jpg, http://66.219.133.230/bi/bi-1238_8.jpg, http://66.219.133.230/bi/bi-1238_9.jpg
Byers Imports	082096	4S4BP62C687320727	New	2008	Subaru	Outback	2.5i Limited	2.5L	Tiptronic	Obsidian Black Pearl	Black	32	28791	AM/FM Stereo, CD Changer, Air Conditioning, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Moonroof, Rear Power Window, Child-Proof Locks, Heated Front Seats, Leather Seats, Power Drivers Seat, Power Passenger Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1239_1.jpg, http://66.219.133.230/bi/bi-1239_2.jpg, http://66.219.133.230/bi/bi-1239_3.jpg, http://66.219.133.230/bi/bi-1239_4.jpg, http://66.219.133.230/bi/bi-1239_5.jpg, http://66.219.133.230/bi/bi-1239_6.jpg, http://66.219.133.230/bi/bi-1239_7.jpg, http://66.219.133.230/bi/bi-1239_8.jpg, http://66.219.133.230/bi/bi-1239_9.jpg
Byers Imports	082603	4S4BP61C787301525	New	2008	Subaru	Outback	2.5i Limited	2.5L	Tiptronic	Satin White Pearl	Beige	396	23931	AM/FM Stereo, CD Player, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Child-Proof Locks, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Power Drivers Seat, Power Passenger Seat, Rear Bench Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1240_1.jpg, http://66.219.133.230/bi/bi-1240_2.jpg, http://66.219.133.230/bi/bi-1240_3.jpg, http://66.219.133.230/bi/bi-1240_4.jpg, http://66.219.133.230/bi/bi-1240_5.jpg, http://66.219.133.230/bi/bi-1240_6.jpg, http://66.219.133.230/bi/bi-1240_7.jpg, http://66.219.133.230/bi/bi-1240_8.jpg, http://66.219.133.230/bi/bi-1240_9.jpg
Byers Imports	082103	4S4BP62C687317360	New	2008	Subaru	Outback	2.5i Limited	2.5L	Tiptronic	Newport Blue Pearl	Tan	486	28706	AM/FM Stereo, CD Changer, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Moonroof, Rear Power Window, Child-Proof Locks, Traction Control, Front Bucket Seats, Heated Front Seats, Leather Seats, Power Drivers Seat, Rear Bench Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1241_1.jpg, http://66.219.133.230/bi/bi-1241_2.jpg, http://66.219.133.230/bi/bi-1241_3.jpg, http://66.219.133.230/bi/bi-1241_4.jpg, http://66.219.133.230/bi/bi-1241_5.jpg, http://66.219.133.230/bi/bi-1241_6.jpg, http://66.219.133.230/bi/bi-1241_7.jpg, http://66.219.133.230/bi/bi-1241_8.jpg, http://66.219.133.230/bi/bi-1241_9.jpg
Byers Imports	082602	4S4BP60C687331679	New	2008	Subaru	Outback	8 DB Package	2.5L	Tiptronic	Newport Blue Pearl	Black	4	23931	AM/FM Stereo, CD Player, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Child-Proof Locks, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1242_1.jpg, http://66.219.133.230/bi/bi-1242_2.jpg, http://66.219.133.230/bi/bi-1242_3.jpg, http://66.219.133.230/bi/bi-1242_4.jpg, http://66.219.133.230/bi/bi-1242_5.jpg, http://66.219.133.230/bi/bi-1242_6.jpg, http://66.219.133.230/bi/bi-1242_7.jpg, http://66.219.133.230/bi/bi-1242_8.jpg, http://66.219.133.230/bi/bi-1242_9.jpg
Byers Imports	082118	4S4WX91D484404530	New	2008	Subaru	Tribeca	SUV	3.6L	Tiptronic	Newport Blue Pearl	Black	4	0	AM/FM Stereo, CD Player, Air Conditioning, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Tilt Steering Wheel, Gauge Cluster, Tachometer, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Child-Proof Locks, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Power Drivers Seat, Rear Bench Seat	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1243_1.jpg, http://66.219.133.230/bi/bi-1243_2.jpg, http://66.219.133.230/bi/bi-1243_3.jpg, http://66.219.133.230/bi/bi-1243_4.jpg, http://66.219.133.230/bi/bi-1243_5.jpg, http://66.219.133.230/bi/bi-1243_6.jpg, http://66.219.133.230/bi/bi-1243_7.jpg, http://66.219.133.230/bi/bi-1243_8.jpg, http://66.219.133.230/bi/bi-1243_9.jpg
Byers Imports	082463	4S3BL676X84211255	New	2008	Subaru	Legacy	3.0 Limited w/Navigation System	2.5L Turbo	Tiptronic	Diamond Gray	Black	110	33144	AM/FM Stereo, CD Changer, Air Conditioning, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Navigation System, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Moonroof, Rear Power Window, Child-Proof Locks, Traction Control, Fold Down Rear Seats, Front Bucket Seats, Leather Seats, Power Drivers Seat, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1246_1.jpg, http://66.219.133.230/bi/bi-1246_2.jpg, http://66.219.133.230/bi/bi-1246_3.jpg, http://66.219.133.230/bi/bi-1246_4.jpg, http://66.219.133.230/bi/bi-1246_5.jpg, http://66.219.133.230/bi/bi-1246_6.jpg, http://66.219.133.230/bi/bi-1246_7.jpg, http://66.219.133.230/bi/bi-1246_8.jpg, http://66.219.133.230/bi/bi-1246_9.jpg
Byers Imports	082506	JF1GE74608G505200	New	2008	Subaru	Impreza	WRX All Wheel Drive	2.5L Turbo	5-Speed Manual	Obsidian Black Pearl	Black	20	26118	AM/FM Stereo, CD Player, Air Conditioning, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Leather Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Heads-up Display, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Rear Power Window, Child-Proof Locks, Cloth Upholstery, Fold Down Rear Seats, Front Bucket Seats, Rear Bench Seat, Alloy Wheels	ALL WHEEL DRIVE!  The WRX ALL WHEEL DRIVE is the high-performance Impreza, now powered by 230-hp turbocharged version of 2.5-liter four, with sport-tuned suspension, 17-inch wheels and more potent brakes. The WRX was created as a limited-production specialty car, but it quickly became one of Subaru's best sellers.  The WRX sedan and WRX Sport Wagon add more features, including heavily bolstered sport seats, automatic climate control, a 140-watt stereo with CD changer, the fog lights and leather trimmed wheel and shifter. All this power and it still gets 20/26 mpg! Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1247_1.jpg, http://66.219.133.230/bi/bi-1247_2.jpg, http://66.219.133.230/bi/bi-1247_3.jpg, http://66.219.133.230/bi/bi-1247_4.jpg, http://66.219.133.230/bi/bi-1247_5.jpg, http://66.219.133.230/bi/bi-1247_6.jpg, http://66.219.133.230/bi/bi-1247_7.jpg, http://66.219.133.230/bi/bi-1247_8.jpg, http://66.219.133.230/bi/bi-1247_9.jpg
Byers Imports	082476	JF1GH74688G805350	New	2008	Subaru	Impreza	WRX All Wheel Drive	2.5L Turbo	5-Speed Manual	Lightning Red	Black	7	26577	AM/FM Stereo, CD Player, Air Conditioning, Center Console, Climate Control, Cruise Control, Tilt Steering Wheel, Vanity Mirrors, Tachometer, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Traction Control, Cloth Upholstery	ALL WHEEL DRIVE!  This WRX has 230-hp and still gets 20/26 mpg! That is impressive! We are so pleased that the 2006 Impreza has added the IIHS Top Safety Pick Gold award to the brand’s long list of safety accolades,” said Fred Adcock, executive vice president, Subaru of America, Inc. “Subaru provides customers with a fun-to-drive vehicle that sets the gold standard for safety at a tremendous value. That’s what makes a Subaru, a Subaru.” Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1248_1.jpg, http://66.219.133.230/bi/bi-1248_2.jpg, http://66.219.133.230/bi/bi-1248_3.jpg, http://66.219.133.230/bi/bi-1248_4.jpg, http://66.219.133.230/bi/bi-1248_5.jpg, http://66.219.133.230/bi/bi-1248_6.jpg, http://66.219.133.230/bi/bi-1248_7.jpg, http://66.219.133.230/bi/bi-1248_8.jpg, http://66.219.133.230/bi/bi-1248_9.jpg
Byers Imports	082376	4S3BL696283211141	New	2008	Subaru	Legacy	3.0 Limited w/Navigation System	2.5L	6-Speed Manual	Dark Gray	Black	90	35465	AM/FM Stereo, CD Changer, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Interval Wipers, Keyless Entry, Navigation System, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Heads-up Display, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Moonroof, Rear Power Window, Rear Window Defroster, Child-Proof Locks, Side Impact Air Bags, Front Bucket Seats, Heated Front Seats, Leather Seats, Power Drivers Seat, Rear Bench Seat, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1251_1.jpg, http://66.219.133.230/bi/bi-1251_2.jpg, http://66.219.133.230/bi/bi-1251_3.jpg, http://66.219.133.230/bi/bi-1251_4.jpg, http://66.219.133.230/bi/bi-1251_5.jpg, http://66.219.133.230/bi/bi-1251_6.jpg, http://66.219.133.230/bi/bi-1251_7.jpg, http://66.219.133.230/bi/bi-1251_8.jpg, http://66.219.133.230/bi/bi-1251_9.jpg
Byers Imports	082667	WAUDH74F48N029868	New	2008	Audi	A6	4dr Sedan	3.2L	Tiptronic	Silver	Black	359	51315	AM/FM Stereo, Bose Stereo System, CD Player, Premium Audio, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Floor Mats, Heated Mirrors, Interval Wipers, Keyless Entry, Leather Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Fog Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Moonroof, Rear Power Window, Rear Window Defroster, Anti-Lock Brakes, Child-Proof Locks, Dual Air Bags, Passenger Side Air Bag, Side Impact Air Bags, Front Bucket Seats, Leather Seats, Memory Seat, Power Drivers Seat, Rear Bench Seat, Alloy Wheels	MOONROOF and LEATHER!!  BRAND NEW, NEVER TITLED VEHICLE!.....The Audi A6 excels at driving dynamics. It's a wonderful car for quick commuting, smooth high-speed travel, and spirited driving. It's smooth and quiet, good for easy conversation and listening pleasure. It's right up there with the Mercedes-Benz E-Class and BMW 5 Series in terms of safe and secure motoring, particularly when weather enters the picture. When conditions get really slick, you can't beat quattro. NewCarTestDrive.com editor Mitch McCullough filed this report from Milan, with Greg Brown in Italy's Dolomites. Call us at  614-864-5180 or TOLL FREE IN OHIO ONLY at 866-717-9705	http://66.219.133.230/bi/bi-1256_1.jpg, http://66.219.133.230/bi/bi-1256_2.jpg, http://66.219.133.230/bi/bi-1256_3.jpg, http://66.219.133.230/bi/bi-1256_4.jpg, http://66.219.133.230/bi/bi-1256_5.jpg, http://66.219.133.230/bi/bi-1256_6.jpg, http://66.219.133.230/bi/bi-1256_7.jpg, http://66.219.133.230/bi/bi-1256_8.jpg, http://66.219.133.230/bi/bi-1256_9.jpg
Byers Imports	073481	3VWWJ71K77M165452	New	2007	Volkswagen	Jetta	GLI 4dr Sedan	2L 4-Cylinder	Tiptronic	Fahrenheit Yellow	Anthracite leather	262	29970	Air Conditioning, Air Filtration, Airbags Dual Front Side-mounted, Airbags Occupant Sensing Deactivation, Anti-Lock Brakes, Audio System - AM/FM In-dash 6 CD Player With CD MP3 Playback, Bench Rear Seat, Brakes - Front and Rear Disc, Braking Assist, Center Armrest - Folding With Storage And Pass-thru, Center Console Trim - Alloy, Child Safety Locks, Cruise Control, Daytime Running Lights, Depowered Airbags, Driver Seat Height Adjustable, Driver Seat Manual Lumbar, Electric Speed-proportional Power Steering, Engine Immobilizer, Fog Lights, Front Center Console with Storage, Headlights - Xenon High Intensity Discharge, Intermittent Wipers, Passenger Seat Height Adjustable, Passenger Seat Manual Lumbar, Power Door Locks, Power Mirrors, Power Windows, Rear Defogger, Remote Anti-theft Alarm System, Shift Knob - Alloy, Signal Mirrors, Sport Front Seats, Stability Control, Steering Wheel Ctrl - Transmission And Audio Controls, Steering Wheel Leather Wrapped, Steering Wheel Tilt and Telescopic, Tachometer, Traction Control, Trip Computer, Alloy Wheels,  Leather Seats,  Heated Seats	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1273_1.jpg, http://66.219.133.230/bi/bi-1273_2.jpg, http://66.219.133.230/bi/bi-1273_3.jpg, http://66.219.133.230/bi/bi-1273_4.jpg, http://66.219.133.230/bi/bi-1273_5.jpg, http://66.219.133.230/bi/bi-1273_6.jpg, http://66.219.133.230/bi/bi-1273_7.jpg, http://66.219.133.230/bi/bi-1273_8.jpg, http://66.219.133.230/bi/bi-1273_9.jpg
Byers Imports	082291	WVWFA71F78V001034	New	2008	Volkswagen	Eos Lux	2dr Convertible	2.0 TFSI	Tiptronic	Thunder Blue	Cornsilk Beige	188	35928	AM/FM Stereo, CD Changer, Premium Audio, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Floor Mats, Interval Wipers, Keyless Entry, Leather Steering Wheel, Telescopic Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Compass, Gauge Cluster, Heads-up Display, Trip Odometer, Power Brakes, Power Convertible Top, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Remote Trunk Lid, Power Sunroof, Rear Window Defroster, Alarm System, Anti-Lock Brakes, Drivers Side Air Bag, Dual Air Bags, Passenger Side Air Bag, Side Impact Air Bags, Fold Down Rear Seats, Front Bucket Seats, Heated Front Seats, Leather Seats, Power Drivers Seat, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1286_1.jpg, http://66.219.133.230/bi/bi-1286_2.jpg, http://66.219.133.230/bi/bi-1286_3.jpg, http://66.219.133.230/bi/bi-1286_4.jpg, http://66.219.133.230/bi/bi-1286_5.jpg, http://66.219.133.230/bi/bi-1286_6.jpg, http://66.219.133.230/bi/bi-1286_7.jpg, http://66.219.133.230/bi/bi-1286_8.jpg, http://66.219.133.230/bi/bi-1286_9.jpg
Byers Imports	082272	WVWAK73C78P014851	New	2008	Volkswagen	Passat	4dr Turbo Sedan	2.0 TFSI	Tiptronic	Reflex Silver	Black	216	29133	AM/FM Stereo, CD Changer, Premium Audio, Air Conditioning, Center Arm Rest, Center Console, Cruise Control, Interval Wipers, Keyless Entry, Leather Steering Wheel, Telescopic Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Daytime Running Lights, Lighted Entry, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Remote Trunk Lid, Power Sunroof, Rear Window Defroster, Alarm System, Anti-Lock Brakes, Drivers Side Air Bag, Dual Air Bags, Passenger Side Air Bag, Side Impact Air Bags, Fold Down Rear Seats, Front Bucket Seats, Heated Front Seats, Leather Seats, Power Drivers Seat, Rear Bench Seat, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1291_1.jpg, http://66.219.133.230/bi/bi-1291_2.jpg, http://66.219.133.230/bi/bi-1291_3.jpg, http://66.219.133.230/bi/bi-1291_4.jpg, http://66.219.133.230/bi/bi-1291_5.jpg, http://66.219.133.230/bi/bi-1291_6.jpg, http://66.219.133.230/bi/bi-1291_7.jpg, http://66.219.133.230/bi/bi-1291_8.jpg, http://66.219.133.230/bi/bi-1291_9.jpg
Byers Imports	082363	WVWJK73C08P024170	New	2008	Volkswagen	Passat	4dr Turbo Sedan	2.0 TFSI	Tiptronic	Tornado Red	Black	156	25855	AM/FM Stereo, CD Player, Air Conditioning, Center Arm Rest, Center Console, Cruise Control, Interval Wipers, Keyless Entry, Telescopic Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Lighted Entry, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Remote Trunk Lid, Rear Window Defroster, Alarm System, Anti-Lock Brakes, Dual Air Bags, Side Impact Air Bags, Fold Down Rear Seats, Front Bucket Seats, Heated Front Seats, Leather Seats, Power Drivers Seat, Rear Bench Seat, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1292_1.jpg, http://66.219.133.230/bi/bi-1292_2.jpg, http://66.219.133.230/bi/bi-1292_3.jpg, http://66.219.133.230/bi/bi-1292_4.jpg, http://66.219.133.230/bi/bi-1292_5.jpg, http://66.219.133.230/bi/bi-1292_6.jpg, http://66.219.133.230/bi/bi-1292_7.jpg, http://66.219.133.230/bi/bi-1292_8.jpg, http://66.219.133.230/bi/bi-1292_9.jpg
Byers Imports	073489	3VWWJ71K37M165559	New	2007	Volkswagen	Jetta	GLI 4dr Sedan	2L 4-Cylinder	6-Speed Manual	Fahrenheit Yellow	Anthracite leather	44	28895	Air Conditioning, Air Filtration, Airbags Dual Front Side-mounted, Airbags Occupant Sensing Deactivation, Anti-Lock Brakes, Audio System - AM/FM In-dash 6 CD Player With CD MP3 Playback, Bench Rear Seat, Brakes - Front and Rear Disc, Center Armrest - Folding With Storage And Pass-thru, Child Safety Locks, Compass, Cruise Control, Depowered Airbags, Driver Seat Height Adjustable, Driver Seat Manual Lumbar, Electric Speed-proportional Power Steering, Engine Immobilizer, External Temp, Fog Lights, Headlights - Xenon High Intensity Discharge, Passenger Seat Height Adjustable, Passenger Seat Manual Lumbar, Power Door Locks, Power Mirrors, Power Windows, Rear Defogger, Rear Folding Seats, Remote Anti-theft Alarm System, Remote Trunk Release, Retained Accessory Power, Shift Knob Leather, Signal Mirrors, Sport Front Seats, Stability Control, Steering Wheel Audio Ctrls, Steering Wheel Leather Wrapped, Steering Wheel Tilt and Telescopic, Tachometer, Traction Control, Trip Computer, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1296_1.jpg, http://66.219.133.230/bi/bi-1296_2.jpg, http://66.219.133.230/bi/bi-1296_3.jpg, http://66.219.133.230/bi/bi-1296_4.jpg, http://66.219.133.230/bi/bi-1296_5.jpg, http://66.219.133.230/bi/bi-1296_6.jpg, http://66.219.133.230/bi/bi-1296_7.jpg, http://66.219.133.230/bi/bi-1296_8.jpg, http://66.219.133.230/bi/bi-1296_9.jpg
Byers Imports	082293	WVWAA71K48W052203	New	2008	Volkswagen	Rabbit S	2dr Hatchback	2.5L	5-Speed Manual	Candy White	Anthracite	13	18480	AM/FM Stereo, CD Player, Air Conditioning, Center Console, Cruise Control, Telescopic Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Rear Spoiler, Gauge Cluster, Tachometer, Trip Odometer, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Remote Trunk Lid, Rear Window Defroster, Anti-Lock Brakes, Drivers Side Air Bag, Dual Air Bags, Passenger Side Air Bag, Side Impact Air Bags, Cloth Upholstery, Alloy Wheels	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1298_1.jpg, http://66.219.133.230/bi/bi-1298_2.jpg, http://66.219.133.230/bi/bi-1298_3.jpg, http://66.219.133.230/bi/bi-1298_4.jpg, http://66.219.133.230/bi/bi-1298_5.jpg, http://66.219.133.230/bi/bi-1298_6.jpg, http://66.219.133.230/bi/bi-1298_7.jpg, http://66.219.133.230/bi/bi-1298_8.jpg, http://66.219.133.230/bi/bi-1298_9.jpg
Byers Imports	082483	3VWRM71K48M025378	New	2008	Volkswagen	Jetta 2.5 SE	4dr Sedan	2.5L	Tiptronic	Platinum Gray	Art Gray	6	21660	AM/FM Stereo, CD Changer, Air Conditioning, Center Arm Rest, Center Console, Climate Control, Cruise Control, Floor Mats, Interval Wipers, Keyless Entry, Leather Steering Wheel, Telescopic Steering Wheel, Tilt Steering Wheel, Vanity Mirrors, Gauge Cluster, Tachometer, Trip Odometer, Daytime Running Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Remote Trunk Lid, Power Sunroof, Rear Window Defroster, Alarm System, Anti-Lock Brakes, Child-Proof Locks, Drivers Side Air Bag, Dual Air Bags, Passenger Side Air Bag, Side Impact Air Bags, Fold Down Rear Seats, Front Bucket Seats, Heated Front Seats, Leather Seats, Rear Bench Seat, Alloy Wheels, Satellite Radio	Call us at  614-864-5180 or TOLL FREE IN OHIO at 866-717-9705	http://66.219.133.230/bi/bi-1300_1.jpg, http://66.219.133.230/bi/bi-1300_2.jpg, http://66.219.133.230/bi/bi-1300_3.jpg, http://66.219.133.230/bi/bi-1300_4.jpg, http://66.219.133.230/bi/bi-1300_5.jpg, http://66.219.133.230/bi/bi-1300_6.jpg, http://66.219.133.230/bi/bi-1300_7.jpg, http://66.219.133.230/bi/bi-1300_8.jpg, http://66.219.133.230/bi/bi-1300_9.jpg
